,costs_ratio,optimal_cost_preventive_TBM,optimal_cost_corrective_TBM,optimal_cost_preventive_ICBM,optimal_cost_corrective_ICBM,optimal_cost_preventive_CBM,optimal_cost_corrective_CBM
0,1,0.7549318079427706,0.7079236345367114,0.646322706935123,0.6359801943884101,0.5377386074098827,0.5338596458562198
1,2,0.7375373705068484,0.6726531074726645,0.6366663666636666,0.6072516930022573,0.5326831898973103,0.5461094277056772
2,3,0.6952411707718051,0.6328149246525742,0.6223786393647653,0.6153299960947207,0.5415486853510546,0.5671833244254411
3,4,0.675592699982944,0.6409044611937258,0.6518978509628803,0.6104258502851134,0.5466688763672523,0.5678634680405732
4,5,0.6613456263334349,0.6237083684420595,0.616578947368421,0.6126548520302822,0.5627957229611414,0.5675213675213675
5,6,0.6437944342880357,0.5962469180896721,0.6051321487837454,0.600855973204317,0.5403819064016278,0.558104550582926
6,7,0.6144228340490022,0.5899559555725776,0.6201184447686894,0.58810888252149,0.5793432157068521,0.5465440893338468
7,8,0.6119849852533737,0.598450711356387,0.5957418437194417,0.609982647749311,0.5716488300380917,0.5489567430025446
8,9,0.6112517580872011,0.5843949044585987,0.5948864685250138,0.5864734299516908,0.5553581447540678,0.538389707408176
9,10,0.6034823710992138,0.5819776714513557,0.6244763172162257,0.5887875393396277,0.5513671875,0.525328330206379
